,titulo,clasificacion,duracion,año,tipo_de_sonido,sinopsis
0,Piloto,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"La joven Mary Stuart viaja a Francia para conocer a su prometido el príncipe Francis. Aunque su madre, la reina Catherine, intente impedirlo."
1,Serpientes en el jardín,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"Mary y Francis quieren convencer a los ingleses de que su compromiso es fuerte, mientras tanto, Catherine busca a alguien que puede arruinar su plan en contra de Mary."
2,Beso,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"El rey Henry de Francia rechaza ayudar a Mary contra los ingleses invasores en Escocia, ella sopesa la posibilidad de aliarse con Portugal con una boda."
3,Corazones y mentes,SAM13,41 MIN,2013,SONIDO ENVOLVENTE 5.1,"Mary debe mentir para ayudar a su país, Francis y Bash descubren cosas desconcertantes sobre Tomas, que hacen que Mary piense dos veces su propuesta de matrimonio."
4,Frío en el aire,SAM13,41 MIN,2013,SONIDO ENVOLVENTE 5.1,"El camino hacia el amor verdadero es complicado para Francis, que se topa con una antigua enamorada; Mary acepta un beso y Kenna insiste en sostener su relación prohibida."
5,La elegida,SAM13,40 MIN,2013,SONIDO ENVOLVENTE 5.1,Bash planea salvar a Mary cuando los paganos quieren matarla; los celos de Francis lo arrojan a los brazos de Olivia.
6,Rehénes,SAM13,41 MIN,2013,SONIDO ENVOLVENTE 5.1,Mary y Catherine se alían cuando el castillo cae y todos permanecen como rehenes; Diane planea hacer que Henry sepa que Bash es su legítimo heredero.
7,Destino,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"Henry quiere que Mary y Francis se casen, pero las predicciones de Nostradamus tienen a Mary preocupada. A Catherine le molestan los planes que Diane tiene para Bash."
8,Por el rey y el país,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,Francia se arriesga cuando Mary convence a Henry de tomar una decisión que puede poner en riesgo la legitimidad de su hijo.
9,Sacrificio,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,Mary se involucra con una prisionera embarazada que tiene vínculos con Bash; las amigas de Mary se enredan en los atentados para asesinar a Catherine.
10,Inquisición,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"Henry descubre secretos oscuros en el pasado de Catherine y la manda arrestar, ella intenta disuadirlo con evidencia en contra de Bash."
11,Sangre real,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,Las extravagancias de Clarissa preocupan a todos y hacen que Mary y Bash se alíen a Catherine. Francis se siente atraído por Lola durante su estancia en París.
12,Consumación,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,"La familia real interfiere cuando Catherine y la madre de Mary la presionan para decidir entre Bash y Francis, lo que resultaría decepcionante para uno de ellos."
13,Secretos,SAM13,40 MIN,2014,SONIDO ENVOLVENTE 5.1,Henry necesita la ayuda de Catherine para prevenir una crisis; Mary descubre la identidad del padre del bebé de Lola y Bash rescata a una damisela en peligro.
14,La oscuridad,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,"Bash busca a la famosa criatura del bosque mientras Mary presiona para que Lola se case, Greer se debate entre sus pretendientes y Henry se vuelve más violento."
15,Monstruos,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,Francis y Bash quieren recuperar su buena relación pero Henry interfiere y ordena que uno de ellos se case con su propia amante. Greer acepta la propuesta.
16,Señor feudal,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,Mary se entera de que su contrato matrimonio contiene una cláusula mortal y amenaza a Henry con revelar su enfermedad si no destruye el documento.
17,Sin salida,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"Francis toma una decisión radical para salvar a Mary de morir, Catherine y Kenna se alían para hacer que Henry deje a su ambiciosa amante."
18,Soldados de juguete,SAM13,40 MIN,2014,SONIDO ENVOLVENTE 5.1,Mary intenta evitar una revuelta en Escocia y por eso se enfurece cuando Francis quiere usar al ejército del tío de Mary contra los ingleses.
19,Terrenos peligrosos,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,Mary contrata a un cruel mercenario para colaborar con Escocia; Francis y Leith luchan del lado de los ingleses; Lola duda de la honestidad de su esposo.
20,Larga vida al rey,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,Lola se entera de la verdad sobre Julien y su lealtad se tambalea; Henry decide casarse con Mary; Bash busca al terror en el bosque.
21,El fin de la inocencia,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,"El reinado de Henry está por sufrir un golpe de estado, Francis acude a apoyar a Lola cuando da a Luz; Mary está preparada para proteger al castillo de la peste."
22,La peste,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,La peste arrasa el país y Francisco va en búsqueda de Lola y su hijo; María y Catalina intentan refugiarse de tanta muerte circundante.
23,Ejecución al amanecer,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"La peste pierde fuerza y Francisco regresa a casa con Lola y su hijo, para el disgusto de María. Luego, un poderoso noble confronta a María por la muerte de su hijo."
24,Coronación,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,"Francia es asolada por la hambruna después de la peste y María se desespera por alimentar a las masas, mientras Catalina planea la coronación."
25,Tres jinetes,SAM13,41 MIN,2013,SONIDO ENVOLVENTE 5.1,"Francisco se prepara para el bautismo de su hijo. A María y a Lola las une el deseo de ayudar a una mujer necesitada; luego, María recibe noticias determinantes."
26,Sangre por sangre,SAM13,40 MIN,2013,SONIDO ENVOLVENTE 5.1,"La víspera de la boda de Greer se baña de sangre y Francisco intenta ocultarle su pasado a María, porque teme que lo destruya."
27,Tres Reinas,SAM13,40 MIN,2013,SONIDO ENVOLVENTE 5.1,"Un levantamiento campesino hace que María y Catalina escapen al bosque, mientras Francisco las busca; Lola y Narcisse se unen por intereses comunes."
28,El Príncipe de sangre,SAM13,42 MIN,2013,SONIDO ENVOLVENTE 5.1,La hija de Catalina se aparece y crea inesperadamente una rivalidad con Kenna; Narcisse presiona a Francisco para que enfrente su conciencia o arriesgue el trono.
29,El terror de los fieles,SAM13,41 MIN,2013,SONIDO ENVOLVENTE 5.1,La lucha entre protestantes y católicos recrudece por las demandas del emisario del Vaticano; Claudia sospecha que Catalina quiere deshacerse de ella.
30,Actos de guerra,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"María piensa una solución para poner fin a la violencia entre protestantes y católicos, que alcanzó su punto más álgido, y resolver el problema del casamiento de Claudia."
31,Piedad,SAM13,39 MIN,2014,SONIDO ENVOLVENTE 5.1,"La culpa carcome a Francisco por el ataque contra María y jura encontrar a los atacantes; entre tanto, Catalina recibe un visitante nocturno y fantasmagórico."
32,La huída,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"María y Condé intentan esconderse de los inquisidores del Vaticano, mientras Kenna trata de explicar la locura y violencia de Catalina hacia la princesa Claudia."
33,Destierro,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,Aumenta la rivalidad entre Condé y Francisco por María. Catalina es confrontada por Claudia y sufre alucinaciones que la llevan a pensar en el suicidio.
34,Pecados del pasado,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,Se aproxima el gran festejo por la llegada de la primavera y Francisco espera poder reconciliarse con María; Catalina descubre la verdad detrás de sus alucinaciones.
35,El fin del luto,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"María y Francisco descubren la conexión entre las ""locuras"" de Enrique y Catalina. Narcisse se pone celoso por la visita de uno de los pretendientes de Catalina."
36,Prohibido,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"María recibe la visita de su madre, que le advierte sobre vivir separada de Francisco; mientras tanto, Francisco quiere que su hijo se case con la hija de un poderoso."
37,Con sabor a venganza,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"Antonio amenaza con revelar a Francisco el amorío entre María y Condé; entre tanto, Bash descubre el plan de Kenna y su matrimonio se hunde aún más."
38,Un atractivo destino,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"Catalina visita a Francisco para exponer la relación entre María y Condé, pero Francisco cae enfermo; Leith se convierte en el guardia personal de Claudia."
39,Cambio de camino,SAM13,40 MIN,2014,SONIDO ENVOLVENTE 5.1,"Con Francisco enfermo, María tiene que asumir como comandante y piensa un plan para salvar Escocia; Catalina sigue complotando para exponer la infidelidad de María."
40,Abandonad,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"A pesar de estar agradecida con Francisco por salvar Escocia, María se niega a dejar a Condé. No obstante, tras una amenaza terrorista, María y Francisco se acercan."
41,Fugitivo,SAM13,42 MIN,2014,SONIDO ENVOLVENTE 5.1,"La alianza de Condé con Inglaterra enardece el deseo de Francisco de destruirlo, mientras Catalina insiste en que Narcisse pruebe su devoción traicionando a Lola."
42,El asedio,SAM13,40 MIN,2014,SONIDO ENVOLVENTE 5.1,El plan de Condé para tomar el castillo se acerca a su concreción y María se arriesga para alertar a Francisco; Narcisse sufre los violentos celos de Catalina.
43,La hoguera,SAM13,41 MIN,2014,SONIDO ENVOLVENTE 5.1,María decide aplastar la revolución de Condé; el deseo de Catalina de destruir a María involucra a la reina Isabel; el secreto de Kenna sella su destino y el de Bash.
44,"Tres reinas, dos tigres",SAM13,40 MIN,2015,SONIDO ENVOLVENTE 5.1,"Mientras la reina Isabel y la reina Catalina unen fuerzas, la reina María lucha por conservar su poder. Entre tanto, Isabel tiene sus propios desafíos que enfrentar."
45,Compromiso,SAM13,41 MIN,2015,SONIDO ENVOLVENTE 5.1,"Elizabeth debe hacer frente a la reacción política de albergar a Catherine en Inglaterra, mientras que Catherine es encarcelada en su regreso a Francia. Mary se ve"
46,Medidas extremas,SAM13,41 MIN,2015,SONIDO ENVOLVENTE 5.1,"Cuando el rey Antoine regresa inesperadamente a la corte, Mary debe ayudar a Francis a ocultar su condición de debilitamiento el tiempo suficiente para asegurar el futuro"
47,El precio,SAM13,40 MIN,2015,SONIDO ENVOLVENTE 5.1,"Después de que Mary recibe un mensaje urgente de su madre enferma sobre la grave situación en Escocia, ella se encuentra en busca de Francis por ayuda. Catherine se"
48,En un claro,SAM13,42 MIN,2015,SONIDO ENVOLVENTE 5.1,"Agradecida por un futuro con un Francis revivido, Mary considera su derecho al trono Inglés. Catherine se entera de que Nostradamus ha regresado, con una nueva visión que"
49,Pelea o muerte,SAM13,41 MIN,2015,SONIDO ENVOLVENTE 5.1,"Mary se da cuenta que tiene que ayudar a Catherine en su búsqueda, aun a riesgo de herir a la alianza con Escocia. Claude está decidido a ayudar a Leith a casarse con"
50,El sabueso y la liebre,SAM13,40 MIN,2015,SONIDO ENVOLVENTE 5.1,"Cuando el Príncipe Don Carlos de España visita Francia, Mary descubre un oscuro secreto que él esconde. Cuando Gideon, el nuevo embajador de la corte Inglés llega,"
51,Nuestra reina,SAM13,42 MIN,2016,SONIDO ENVOLVENTE 5.1,María y Catalina lidian con las consecuencias del accidente del Príncipe de España. María reflexiona sobre su futuro. Acusan a Catalina de envenenar a Francisco.
52,Matrimonio,SAM13,42 MIN,2016,SONIDO ENVOLVENTE 5.1,Mary confía en Gideon para que la ayude a descubrir la verdad sobre la condición del príncipe Carlos. Elizabeth hace un sorprendente descubrimiento que podría cambiar el
53,Lesiones que mienten,SAM13,41 MIN,2016,SONIDO ENVOLVENTE 5.1,Mary lucha para resistir sus sentimientos por Gedeón mientras trabaja para alinearse políticamente con aliados potenciales. Elizabeth y Greer se encuentran en situaciones
54,La sucesión,SAM13,42 MIN,2016,SONIDO ENVOLVENTE 5.1,"A medida que se acerca la coronación de Carlos, María busca un poderoso candidato con quien aliarse. Lola descubre la verdad sobre quién atacó a Isabel."
55,Sin salida,SAM13,41 MIN,2016,SONIDO ENVOLVENTE 5.1,"Mary podría tener que sacrificar la vida de su prima para salvar la suya. El pasado de Catherine vuelve a atormentarla, mientras que Lola y Elizabeth se transforman en"
56,Compañeros,SAM13,41 MIN,2016,SONIDO ENVOLVENTE 5.1,"Mary, en orden de proteger a Elizabeth, sin saber pone la vida de Gideon en peligro. Para salvarlo, Mary pide ayuda de otro ingles - Robert Dudley. Mientras tanto, Bash"
57,Hasta la muerte,SAM13,41 MIN,2016,SONIDO ENVOLVENTE 5.1,María se da cuenta de que debe regresar a Escocia y formar su propio ejército para salvar su trono. Lola ayuda a Isabel a obtener más información sobre su madre.
58,Cruce seguro,SAM13,41 MIN,2016,SONIDO ENVOLVENTE 5.1,"María descubre que tiene la oportunidad de llegar a Escocia sana y salva pero, cuando Catalina enfrenta una crisis, reflexiona sobre si debe quedarse y protegerla."
59,Clanes,SAM13,41 MIN,2016,SONIDO ENVOLVENTE 5.1,María llega a Escocia y se da cuenta de que debe mantener su identidad real en secreto. Los esfuerzos de Lola por ayudar a Isabel hacen sospechar a la Reina.
60,Intrusos,SAM13,41 MIN,2016,SONIDO ENVOLVENTE 5.1,"Luego de darse a María por muerta, Isabel y John Knox conspiran para subir al trono de Escocia. Mientras tanto, María y Bash se enfrentan a un poderoso enemigo."
61,Arañas en un frasco,SAM13,42 MIN,2016,SONIDO ENVOLVENTE 5.1,"Mientras Isabel se enfrenta a María por el control de Escocia, acusan a Lola de un crimen atroz. Carlos regresa a Francia como un hombre nuevo."
62,Con amigos como estos,SAM13,41 MIN,2017,SONIDO ENVOLVENTE 5.1,La desconfiada reina María pone a prueba a su hermano Jacobo para asegurar su lealtad después de enterarse de su reunión con John Knox. La reina Isabel acepta ayudar a
63,Un grano de decepción,SAM13,42 MIN,2017,SONIDO ENVOLVENTE 5.1,La reina María descubre que uno de sus consejeros filtra información y quiere saber quién es. La reina Isabel recluta a Narcisse para seguir con su búsqueda de
64,Saltos de fe,SAM13,42 MIN,2017,SONIDO ENVOLVENTE 5.1,Gideon le muestra a María cómo podría ser la vida si escogiera el amor en vez de a su país. Catalina lucha por encubrir el creciente comportamiento imprevisible del rey
65,Jugando con fuego,SAM13,42 MIN,2017,SONIDO ENVOLVENTE 5.1,"Cuando lord Darnley sorprende a María con su visita a Escocia, ella ve la posibilidad de una unión que podría ser más que solo política. Isabel lucha para ganar aliados"
66,Juegos escoceses,SAM13,42 MIN,2017,SONIDO ENVOLVENTE 5.1,"Para hacer que María acepte casarse, lord Darnley debe demostrarle su lealtad cuando ella le cuenta sus preocupaciones sobre sus verdaderas intenciones. Catalina y"
67,Amor y muerte,SAM13,41 MIN,2017,SONIDO ENVOLVENTE 5.1,María debe lidiar con las repercusiones políticas de un potencial matrimonio con lord Darnley. El rey Carlos desaparece y Catalina debe hacerse cargo del desastre que
68,Colgando espadas,SAM13,42 MIN,2017,SONIDO ENVOLVENTE 5.1,"Darnley recibe una visita inesperada y su matrimonio pende de un hilo. Isabel se entera de que su intento por detener a María tuvo el efecto contrario. Mientras tanto,"
69,Aguas desconocidas,SAM13,40 MIN,2017,SONIDO ENVOLVENTE 5.1,"Cuando la boda de María (Adelaide Kane) se avecina, una terrible tragedia la separa de Darnley (Will Kemp) y la obliga a pedirle ayuda a Catalina (Megan Follows). Isabel"
70,Tirando de las cuerdas,SAM13,41 MIN,2017,SONIDO ENVOLVENTE 5.1,La boda de María (Adelaide Kane) y Darnley (Will Kemp) resulta ser un fastuoso evento que demuestra ser una decisión acertada en cuanto a la posición política de María.
71,Un mejor hombre,SAM13,41 MIN,2017,SONIDO ENVOLVENTE 5.1,"Mientras María (Adelaide Kane) planea estrategias para quedarse con el trono inglés, Isabel (Rachel Skarsten) tiene dificultades para encontrar a un pretendiente adecuado"
72,En medio de la noche,SAM13,42 MIN,2017,SONIDO ENVOLVENTE 5.1,María y Darnley están en desacuerdo cuando ponen en marcha su plan para apoderarse de Inglaterra. Isabel está confundida sobre sus sentimientos por Gideon e intenta
73,El chantaje,SAM13,42 MIN,2017,SONIDO ENVOLVENTE 5.1,"Después del trágico terremoto en Escocia, María (Adelaide Kane) debe enfrentar a John Knox (Jonathan Goad) en medio de los reclamos por su falta de ayuda a su pueblo."
74,Tiro de gracia,SAM13,41 MIN,2017,SONIDO ENVOLVENTE 5.1,"Darnley hace equipo con John Knox para quitar a María del trono, lo cual hará que alguien cercano a ella muera. Isabel debe expulsar a Gideon de la corte, pues su futuro"
75,Una novia. Una caja. Un cuerpo.,SAM13,42 MIN,2017,SONIDO ENVOLVENTE 5.1,María (Adelaide Kane) prosigue su búsqueda de justicia al contraatacar a sus conspiradores. Isabel (Rachel Skarsten) tiene un contratiempo que pone su mundo de cabeza.
76,Sangre en el agua,SAM13,41 MIN,2017,SONIDO ENVOLVENTE 5.1,La vida de María (Adelaide Kane) se ve amenazada con el nacimiento de su hijo y pone en riesgo la seguridad de María y la de su bebé aún no nacido. Isabel (Rachel
77,El precio que pagó…,SAM13,42 MIN,2017,SONIDO ENVOLVENTE 5.1,"María toma una decisión que cambiará el rumbo de la historia y que le dará forma al destino de su nación, de su reinado y de su hijo recién nacido."
